version,Pad,Len,Rate,ChannelFrequency,ChannelFlags,dBm_AntSignal,Antenna,subtype,type,proto,FCfield,ID,addr1,addr2,addr3,SC,addr4,Dot11Elt1.ID,Dot11Elt1.len,Dot11Elt1.info
0,0,18,36.0,2422,OFDM+2GHz,-17,1,0,2,0,to-DS+retry+protected,9728,24:f5:a2:72:d2:e4,a4:da:22:34:19:e5,28:80:88:9d:36:fb,46208,None,
0,0,18,36.0,2422,OFDM+2GHz,-17,1,0,2,0,to-DS+retry+protected,9728,24:f5:a2:72:d2:e4,a4:da:22:34:19:e5,28:80:88:9d:36:fb,46208,None,
0,0,18,9.0,2422,OFDM+2GHz,-13,1,0,2,0,to-DS+retry+protected,13824,24:f5:a2:72:d2:e4,a4:da:22:34:19:e5,28:80:88:9d:36:fb,46208,None,
0,0,18,9.0,2422,OFDM+2GHz,-13,1,0,2,0,to-DS+retry+protected,13824,24:f5:a2:72:d2:e4,a4:da:22:34:19:e5,28:80:88:9d:36:fb,46208,None,
0,0,18,6.0,2422,OFDM+2GHz,-35,1,13,1,0,,0,a4:da:22:34:19:e5,None,None,None,None,
0,0,18,1.0,2422,CCK+2GHz,-21,1,8,0,0,,0,ff:ff:ff:ff:ff:ff,24:f5:a2:72:d2:e4,24:f5:a2:72:d2:e4,57472,None,0,16,IoT@Research Lab,
0,0,18,1.0,2422,CCK+2GHz,-39,1,4,2,0,to-DS,14849,24:f5:a2:72:d2:e4,e0:33:8e:34:8a:f4,24:f5:a2:72:d2:e4,56288,None,
0,0,18,1.0,2422,CCK+2GHz,-21,1,13,1,0,,0,e0:33:8e:34:8a:f4,None,None,None,None,
0,0,18,54.0,2422,OFDM+2GHz,-25,1,0,2,0,from-DS+protected,11264,e0:33:8e:34:8a:f4,24:f5:a2:72:d2:e4,80:7d:3a:ea:ea:c8,57488,None,
0,0,18,24.0,2422,OFDM+2GHz,-39,1,13,1,0,,0,24:f5:a2:72:d2:e4,None,None,None,None,
0,0,18,1.0,2422,CCK+2GHz,-39,1,4,2,0,to-DS+pw-mgt,14849,24:f5:a2:72:d2:e4,e0:33:8e:34:8a:f4,24:f5:a2:72:d2:e4,56304,None,
0,0,18,1.0,2422,CCK+2GHz,-21,1,13,1,0,,0,e0:33:8e:34:8a:f4,None,None,None,None,
0,0,18,1.0,2422,CCK+2GHz,-21,1,8,0,0,,0,ff:ff:ff:ff:ff:ff,24:f5:a2:72:d2:e4,24:f5:a2:72:d2:e4,57504,None,0,16,IoT@Research Lab,
0,0,18,1.0,2422,CCK+2GHz,-33,1,8,0,0,,0,ff:ff:ff:ff:ff:ff,24:f5:a2:72:d2:e4,24:f5:a2:72:d2:e4,57520,None,0,16,IoT@Research Lab,
0,0,18,6.0,2422,OFDM+2GHz,-23,1,4,2,0,to-DS,15360,24:f5:a2:72:d2:e4,b4:e6:2d:7c:1d:90,24:f5:a2:72:d2:e4,9760,None,
0,0,18,6.0,2422,OFDM+2GHz,-23,1,4,2,0,to-DS+retry,15360,24:f5:a2:72:d2:e4,b4:e6:2d:7c:1d:90,24:f5:a2:72:d2:e4,9760,None,
0,0,18,2.0,2422,CCK+2GHz,-23,1,4,2,0,to-DS+retry,41472,24:f5:a2:72:d2:e4,b4:e6:2d:7c:1d:90,24:f5:a2:72:d2:e4,9760,None,
0,0,18,2.0,2422,CCK+2GHz,-23,1,4,2,0,to-DS+retry,41472,24:f5:a2:72:d2:e4,b4:e6:2d:7c:1d:90,24:f5:a2:72:d2:e4,9760,None,
0,0,18,1.0,2422,CCK+2GHz,-23,1,4,2,0,to-DS+retry,14849,24:f5:a2:72:d2:e4,b4:e6:2d:7c:1d:90,24:f5:a2:72:d2:e4,9760,None,
0,0,18,1.0,2422,CCK+2GHz,-19,1,13,1,0,,0,b4:e6:2d:7c:1d:90,None,None,None,None,
0,0,18,54.0,2422,OFDM+2GHz,-27,1,0,2,0,to-DS+protected,15360,24:f5:a2:72:d2:e4,b4:e6:2d:7c:1d:90,ff:ff:ff:ff:ff:ff,62336,None,
0,0,18,54.0,2422,OFDM+2GHz,-29,1,0,2,0,to-DS+retry+protected,15360,24:f5:a2:72:d2:e4,b4:e6:2d:7c:1d:90,ff:ff:ff:ff:ff:ff,62336,None,
0,0,18,48.0,2422,OFDM+2GHz,-27,1,0,2,0,to-DS+retry+protected,15360,24:f5:a2:72:d2:e4,b4:e6:2d:7c:1d:90,ff:ff:ff:ff:ff:ff,62336,None,
0,0,18,24.0,2422,OFDM+2GHz,-25,1,13,1,0,,0,b4:e6:2d:7c:1d:90,None,None,None,None,
0,0,18,1.0,2422,CCK+2GHz,-35,1,8,0,0,,0,ff:ff:ff:ff:ff:ff,24:f5:a2:72:d2:e4,24:f5:a2:72:d2:e4,57536,None,0,16,IoT@Research Lab,
0,0,18,1.0,2422,CCK+2GHz,-33,1,0,2,0,from-DS+protected,0,ff:ff:ff:ff:ff:ff,24:f5:a2:72:d2:e4,b4:e6:2d:7c:1d:90,57552,None,
0,0,18,6.0,2422,OFDM+2GHz,-23,1,4,2,0,to-DS+pw-mgt,15360,24:f5:a2:72:d2:e4,b4:e6:2d:7c:1d:90,24:f5:a2:72:d2:e4,9776,None,
0,0,18,6.0,2422,OFDM+2GHz,-23,1,13,1,0,,0,b4:e6:2d:7c:1d:90,None,None,None,None,
0,0,18,1.0,2422,CCK+2GHz,-33,1,8,0,0,,0,ff:ff:ff:ff:ff:ff,24:f5:a2:72:d2:e4,24:f5:a2:72:d2:e4,57568,None,0,16,IoT@Research Lab,
0,0,18,1.0,2422,CCK+2GHz,-37,1,4,2,0,to-DS,14849,24:f5:a2:72:d2:e4,e0:33:8e:34:8a:f4,24:f5:a2:72:d2:e4,56320,None,
0,0,18,1.0,2422,CCK+2GHz,-21,1,13,1,0,,0,e0:33:8e:34:8a:f4,None,None,None,None,
0,0,18,54.0,2422,OFDM+2GHz,-39,1,0,2,0,to-DS+protected,11264,24:f5:a2:72:d2:e4,e0:33:8e:34:8a:f4,01:00:5e:00:00:fb,56336,None,
0,0,18,24.0,2422,OFDM+2GHz,-23,1,13,1,0,,0,e0:33:8e:34:8a:f4,None,None,None,None,
0,0,18,54.0,2422,OFDM+2GHz,-39,1,0,2,0,to-DS+retry+protected,11264,24:f5:a2:72:d2:e4,e0:33:8e:34:8a:f4,33:33:00:00:00:fb,56352,None,
0,0,18,24.0,2422,OFDM+2GHz,-23,1,13,1,0,,0,e0:33:8e:34:8a:f4,None,None,None,None,
0,0,18,1.0,2422,CCK+2GHz,-19,1,8,0,0,,0,ff:ff:ff:ff:ff:ff,24:f5:a2:72:d2:e4,24:f5:a2:72:d2:e4,57584,None,0,16,IoT@Research Lab,
0,0,18,1.0,2422,CCK+2GHz,-19,1,0,2,0,from-DS+MD+protected,0,01:00:5e:00:00:fb,24:f5:a2:72:d2:e4,e0:33:8e:34:8a:f4,57600,None,
0,0,18,1.0,2422,CCK+2GHz,-23,1,13,1,0,,0,24:f5:a2:72:d2:e4,None,None,None,None,
0,0,18,6.0,2422,OFDM+2GHz,-23,1,4,2,0,to-DS,15360,24:f5:a2:72:d2:e4,b4:e6:2d:7c:1d:90,24:f5:a2:72:d2:e4,9792,None,
0,0,18,6.0,2422,OFDM+2GHz,-23,1,4,2,0,to-DS+retry,15360,24:f5:a2:72:d2:e4,b4:e6:2d:7c:1d:90,24:f5:a2:72:d2:e4,9792,None,
0,0,18,6.0,2422,OFDM+2GHz,-23,1,13,1,0,,0,b4:e6:2d:7c:1d:90,None,None,None,None,
0,0,18,1.0,2422,CCK+2GHz,-19,1,0,2,0,from-DS+protected,0,33:33:00:00:00:fb,24:f5:a2:72:d2:e4,e0:33:8e:34:8a:f4,57616,None,
0,0,18,1.0,2422,CCK+2GHz,-23,1,13,1,0,,0,24:f5:a2:72:d2:e4,None,None,None,None,
0,0,18,1.0,2422,CCK+2GHz,-39,1,4,2,0,to-DS+pw-mgt,14849,24:f5:a2:72:d2:e4,e0:33:8e:34:8a:f4,24:f5:a2:72:d2:e4,56368,None,
0,0,18,1.0,2422,CCK+2GHz,-21,1,13,1,0,,0,e0:33:8e:34:8a:f4,None,None,None,None,
0,0,18,1.0,2422,CCK+2GHz,-27,1,0,2,0,to-DS+protected,14849,24:f5:a2:72:d2:e4,30:23:03:52:ee:71,e0:33:8e:34:8a:f4,18656,None,
0,0,18,1.0,2422,CCK+2GHz,-21,1,13,1,0,,0,30:23:03:52:ee:71,None,None,None,None,
0,0,18,1.0,2422,CCK+2GHz,-27,1,4,2,0,to-DS,14849,24:f5:a2:72:d2:e4,30:23:03:52:ee:71,24:f5:a2:72:d2:e4,62752,None,
0,0,18,1.0,2422,CCK+2GHz,-19,1,13,1,0,,0,30:23:03:52:ee:71,None,None,None,None,
0,0,18,1.0,2422,CCK+2GHz,-27,1,4,2,0,to-DS,14849,24:f5:a2:72:d2:e4,30:23:03:52:ee:71,24:f5:a2:72:d2:e4,62768,None,
0,0,18,1.0,2422,CCK+2GHz,-21,1,13,1,0,,0,30:23:03:52:ee:71,None,None,None,None,
0,0,18,6.0,2422,OFDM+2GHz,-23,1,4,2,0,to-DS+pw-mgt,15360,24:f5:a2:72:d2:e4,b4:e6:2d:7c:1d:90,24:f5:a2:72:d2:e4,9808,None,
0,0,18,6.0,2422,OFDM+2GHz,-23,1,13,1,0,,0,b4:e6:2d:7c:1d:90,None,None,None,None,
0,0,18,36.0,2422,OFDM+2GHz,-25,1,0,2,0,to-DS+protected,15360,24:f5:a2:72:d2:e4,80:7d:3a:ea:ea:c8,e0:33:8e:34:8a:f4,60432,None,
0,0,18,24.0,2422,OFDM+2GHz,-23,1,13,1,0,,0,80:7d:3a:ea:ea:c8,None,None,None,None,
0,0,18,1.0,2422,CCK+2GHz,-21,1,8,0,0,,0,ff:ff:ff:ff:ff:ff,24:f5:a2:72:d2:e4,24:f5:a2:72:d2:e4,57632,None,0,16,IoT@Research Lab,
0,0,18,1.0,2422,CCK+2GHz,-39,1,4,2,0,to-DS,14849,24:f5:a2:72:d2:e4,e0:33:8e:34:8a:f4,24:f5:a2:72:d2:e4,56384,None,
0,0,18,1.0,2422,CCK+2GHz,-21,1,13,1,0,,0,e0:33:8e:34:8a:f4,None,None,None,None,
0,0,18,54.0,2422,OFDM+2GHz,-23,1,0,2,0,from-DS+protected,11264,e0:33:8e:34:8a:f4,24:f5:a2:72:d2:e4,30:23:03:52:ee:71,57648,None,
0,0,18,24.0,2422,OFDM+2GHz,-37,1,13,1,0,,0,24:f5:a2:72:d2:e4,None,None,None,None,
0,0,18,54.0,2422,OFDM+2GHz,-23,1,0,2,0,from-DS+protected,11264,e0:33:8e:34:8a:f4,24:f5:a2:72:d2:e4,80:7d:3a:ea:ea:c8,57664,None,
0,0,18,24.0,2422,OFDM+2GHz,-37,1,13,1,0,,0,24:f5:a2:72:d2:e4,None,None,None,None,
0,0,18,1.0,2422,CCK+2GHz,-39,1,4,2,0,to-DS+pw-mgt,14849,24:f5:a2:72:d2:e4,e0:33:8e:34:8a:f4,24:f5:a2:72:d2:e4,56400,None,
0,0,18,1.0,2422,CCK+2GHz,-21,1,13,1,0,,0,e0:33:8e:34:8a:f4,None,None,None,None,
0,0,18,36.0,2422,OFDM+2GHz,-25,1,0,2,0,to-DS+protected,15360,24:f5:a2:72:d2:e4,80:7d:3a:ea:ea:c8,e0:33:8e:34:8a:f4,60448,None,
0,0,18,24.0,2422,OFDM+2GHz,-35,1,13,1,0,,0,80:7d:3a:ea:ea:c8,None,None,None,None,
0,0,18,1.0,2422,CCK+2GHz,-33,1,8,0,0,,0,ff:ff:ff:ff:ff:ff,24:f5:a2:72:d2:e4,24:f5:a2:72:d2:e4,57680,None,0,16,IoT@Research Lab,
0,0,18,1.0,2422,CCK+2GHz,-39,1,4,2,0,to-DS,14849,24:f5:a2:72:d2:e4,e0:33:8e:34:8a:f4,24:f5:a2:72:d2:e4,56416,None,
0,0,18,1.0,2422,CCK+2GHz,-33,1,13,1,0,,0,e0:33:8e:34:8a:f4,None,None,None,None,
0,0,18,24.0,2422,OFDM+2GHz,-39,1,13,1,0,,0,24:f5:a2:72:d2:e4,None,None,None,None,
0,0,18,1.0,2422,CCK+2GHz,-39,1,4,2,0,to-DS+pw-mgt,14849,24:f5:a2:72:d2:e4,e0:33:8e:34:8a:f4,24:f5:a2:72:d2:e4,56432,None,
0,0,18,1.0,2422,CCK+2GHz,-39,1,4,2,0,to-DS+retry+pw-mgt,14849,24:f5:a2:72:d2:e4,e0:33:8e:34:8a:f4,24:f5:a2:72:d2:e4,56432,None,
0,0,18,1.0,2422,CCK+2GHz,-33,1,13,1,0,,0,e0:33:8e:34:8a:f4,None,None,None,None,
0,0,18,1.0,2422,CCK+2GHz,-33,1,8,0,0,,0,ff:ff:ff:ff:ff:ff,24:f5:a2:72:d2:e4,24:f5:a2:72:d2:e4,57712,None,0,16,IoT@Research Lab,
0,0,18,24.0,2422,OFDM+2GHz,-25,1,13,1,0,,0,a4:da:22:34:19:e5,None,None,None,None,
0,0,18,24.0,2422,OFDM+2GHz,-25,1,13,1,0,,0,a4:da:22:34:19:e5,None,None,None,None,
0,0,18,1.0,2422,CCK+2GHz,-37,1,4,2,0,to-DS,14849,24:f5:a2:72:d2:e4,e0:33:8e:34:8a:f4,24:f5:a2:72:d2:e4,56448,None,
0,0,18,1.0,2422,CCK+2GHz,-39,1,4,2,0,to-DS+retry,14849,24:f5:a2:72:d2:e4,e0:33:8e:34:8a:f4,24:f5:a2:72:d2:e4,56448,None,
0,0,18,1.0,2422,CCK+2GHz,-39,1,4,2,0,to-DS+retry,14849,24:f5:a2:72:d2:e4,e0:33:8e:34:8a:f4,24:f5:a2:72:d2:e4,56448,None,
0,0,18,1.0,2422,CCK+2GHz,-21,1,13,1,0,,0,e0:33:8e:34:8a:f4,None,None,None,None,
0,0,18,54.0,2422,OFDM+2GHz,-39,1,0,2,0,to-DS+protected,11264,24:f5:a2:72:d2:e4,e0:33:8e:34:8a:f4,01:00:5e:00:00:02,56464,None,
0,0,18,24.0,2422,OFDM+2GHz,-25,1,13,1,0,,0,e0:33:8e:34:8a:f4,None,None,None,None,
0,0,18,54.0,2422,OFDM+2GHz,-39,1,0,2,0,to-DS+protected,11264,24:f5:a2:72:d2:e4,e0:33:8e:34:8a:f4,01:00:5e:00:00:fb,56480,None,
0,0,18,54.0,2422,OFDM+2GHz,-25,1,0,2,0,from-DS+protected,11264,a4:da:22:34:19:e5,24:f5:a2:72:d2:e4,28:80:88:9d:36:fb,57728,None,
0,0,18,24.0,2422,OFDM+2GHz,-17,1,13,1,0,,1536,24:f5:a2:72:d2:e4,None,None,None,None,
0,0,18,54.0,2422,OFDM+2GHz,-37,1,0,2,0,to-DS+retry+protected,11264,24:f5:a2:72:d2:e4,e0:33:8e:34:8a:f4,01:00:5e:00:00:fb,56480,None,
0,0,18,54.0,2422,OFDM+2GHz,-39,1,0,2,0,to-DS+retry+protected,11264,24:f5:a2:72:d2:e4,e0:33:8e:34:8a:f4,01:00:5e:00:00:fb,56480,None,
0,0,18,24.0,2422,OFDM+2GHz,-23,1,13,1,0,,0,e0:33:8e:34:8a:f4,None,None,None,None,
0,0,18,54.0,2422,OFDM+2GHz,-25,1,0,2,0,from-DS+protected,11264,a4:da:22:34:19:e5,24:f5:a2:72:d2:e4,28:80:88:9d:36:fb,57744,None,
0,0,18,24.0,2422,OFDM+2GHz,-17,1,13,1,0,,1536,24:f5:a2:72:d2:e4,None,None,None,None,
0,0,18,54.0,2422,OFDM+2GHz,-25,1,0,2,0,from-DS+protected,11264,a4:da:22:34:19:e5,24:f5:a2:72:d2:e4,28:80:88:9d:36:fb,57760,None,
0,0,18,24.0,2422,OFDM+2GHz,-17,1,13,1,0,,1536,24:f5:a2:72:d2:e4,None,None,None,None,
0,0,18,1.0,2422,CCK+2GHz,-19,1,8,0,0,,0,ff:ff:ff:ff:ff:ff,24:f5:a2:72:d2:e4,24:f5:a2:72:d2:e4,57776,None,0,16,IoT@Research Lab,
0,0,18,1.0,2422,CCK+2GHz,-19,1,0,2,0,from-DS+MD+protected,0,01:00:5e:00:00:02,24:f5:a2:72:d2:e4,e0:33:8e:34:8a:f4,57792,None,
0,0,18,1.0,2422,CCK+2GHz,-21,1,13,1,0,,0,24:f5:a2:72:d2:e4,None,None,None,None,
0,0,18,1.0,2422,CCK+2GHz,-21,1,0,2,0,from-DS+protected,0,01:00:5e:00:00:fb,24:f5:a2:72:d2:e4,e0:33:8e:34:8a:f4,57808,None,
0,0,18,1.0,2422,CCK+2GHz,-23,1,13,1,0,,0,24:f5:a2:72:d2:e4,None,None,None,None,
