Label,IPLength,IPHeaderLength,TTL,           Protocol,SourcePort,DestPort,SequenceNumber,AckNumber           ,WindowSize,TCPHeaderLength,TCPLength,TCPStream     ,TCPUrgentPointer,IPFlags,IPID,IPchecksum,TCPflags,TCPChecksum
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51290,8883,0,0,29200,40,0,23,0,0x40,0x78ac,0xfe9a,0x0002,0x9a0d
filtered_pcap\_TCP_Miscellaneous,153,20,64,6,54031,443,2865,3089,7264,32,101,1,0,0x40,0x73c9,0xbf67,0x0018,0x02e8
filtered_pcap\_TCP_Miscellaneous,52,20,64,6,54031,443,2966,3174,7264,32,0,1,0,0x40,0x73ca,0xbfcb,0x0010,0xa95b
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51290,8883,0,0,29200,40,0,23,0,0x40,0x78ad,0xfe99,0x0002,0x8a65
filtered_pcap\_TCP_Miscellaneous,87,20,64,6,54244,443,176,156,3632,32,35,5,0,0x40,0xa43d,0xa846,0x0018,0x200a
filtered_pcap\_TCP_Miscellaneous,52,20,64,6,54244,443,211,187,3632,32,0,5,0,0x40,0xa43e,0xa868,0x0010,0xcac9
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51290,8883,0,0,29200,40,0,23,0,0x40,0x78ae,0xfe98,0x0002,0x6b15
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51292,8883,0,0,29200,40,0,24,0,0x40,0xc7a4,0xafa2,0x0002,0x9fe4
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51292,8883,0,0,29200,40,0,24,0,0x40,0xc7a5,0xafa1,0x0002,0x9def
filtered_pcap\_TCP_Miscellaneous,52,20,64,6,54031,443,2966,3275,7264,32,0,1,0,0x40,0x73cb,0xbfca,0x0010,0x4af3
filtered_pcap\_TCP_Miscellaneous,137,20,64,6,54031,443,2966,3275,7264,32,85,1,0,0x40,0x73cc,0xbf74,0x0018,0xca23
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51292,8883,0,0,29200,40,0,24,0,0x40,0xc7a6,0xafa0,0x0002,0x9a04
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51292,8883,0,0,29200,40,0,24,0,0x40,0xc7a7,0xaf9f,0x0002,0x9230
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51292,8883,0,0,29200,40,0,24,0,0x40,0xc7a8,0xaf9e,0x0002,0x8288
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51294,8883,0,0,29200,40,0,25,0,0x40,0xd30e,0xa438,0x0002,0x21ae
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51294,8883,0,0,29200,40,0,25,0,0x40,0xd30f,0xa437,0x0002,0x1fb9
filtered_pcap\_TCP_Miscellaneous,137,20,64,6,54031,443,3051,3376,7264,32,85,1,0,0x40,0x73cd,0xbf73,0x0018,0x8fdb
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51294,8883,0,0,29200,40,0,25,0,0x40,0xd310,0xa436,0x0002,0x1bcf
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51294,8883,0,0,29200,40,0,25,0,0x40,0xd311,0xa435,0x0002,0x13f9
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51294,8883,0,0,29200,40,0,25,0,0x40,0xd312,0xa434,0x0002,0x0451
filtered_pcap\_TCP_Miscellaneous,153,20,64,6,54031,443,3136,3376,7264,32,101,1,0,0x40,0x73ce,0xbf62,0x0018,0xc0ce
filtered_pcap\_TCP_Miscellaneous,52,20,64,6,54031,443,3237,3461,7264,32,0,1,0,0x40,0x73cf,0xbfc6,0x0010,0x64e1
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51294,8883,0,0,29200,40,0,25,0,0x40,0xd313,0xa433,0x0002,0xe500
filtered_pcap\_TCP_Miscellaneous,52,20,64,6,54031,443,3237,3562,7264,32,0,1,0,0x40,0x73d0,0xbfc5,0x0010,0x46f2
filtered_pcap\_TCP_Miscellaneous,137,20,64,6,54031,443,3237,3562,7264,32,85,1,0,0x40,0x73d1,0xbf6f,0x0018,0x8f0b
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51298,8883,0,0,29200,40,0,26,0,0x40,0x154d,0x61fa,0x0002,0xa4ab
